Instance,Optimal,Algorithm,Avg_Quality,Avg_Size,Avg_Time,RelErr,Num_Runs
large1.in,50,LS2,50,50,2.52,0.0,7
large10.in,221,LS2,317.86,317.86,2.71,0.4383,7
large11.in,40,LS2,56,56,1.23,0.4,7
large12.in,15,LS2,18,18,0.41,0.2,7
large2.in,19,LS2,20,20,0.26,0.0526,7
large3.in,15,LS2,17,17,0.64,0.1333,7
large4.in,91,LS2,152,152,1.95,0.6703,7
large5.in,6,LS2,8,8,0.45,0.3333,7
large6.in,6,LS2,7,7,0.64,0.1667,7
large7.in,95,LS2,172,172,3.18,0.8105,7
large8.in,5,LS2,6,6,0.38,0.2,7
large9.in,14,LS2,16,16,0.57,0.1429,7
small1.in,5,LS2,5,5,0.09,0.0,7
small10.in,2,LS2,2.29,2.29,0.09,0.1429,7
small11.in,4,LS2,4,4,0.1,0.0,7
small12.in,3,LS2,3.71,3.71,0.1,0.2381,7
small13.in,2,LS2,2.43,2.43,0.09,0.2143,7
small14.in,2,LS2,2,2,0.1,0.0,7
small15.in,2,LS2,2.14,2.14,0.1,0.0714,7
small16.in,2,LS2,2.57,2.57,0.1,0.2857,7
small17.in,2,LS2,2.57,2.57,0.11,0.2857,7
small18.in,2,LS2,2.71,2.71,0.1,0.3571,7
small2.in,3,LS2,3,3,0.08,0.0,7
small3.in,5,LS2,5.29,5.29,0.09,0.0571,7
small4.in,4,LS2,4.14,4.14,0.09,0.0357,7
small5.in,5,LS2,5.57,5.57,0.11,0.1143,7
small6.in,3,LS2,3.43,3.43,0.09,0.1429,7
small7.in,3,LS2,3.14,3.14,0.09,0.0476,7
small8.in,2,LS2,2,2,0.08,0.0,7
small9.in,3,LS2,3.43,3.43,0.09,0.1429,7
test1.in,2,LS2,2,2,0.09,0.0,7
test2.in,2,LS2,2.14,2.14,0.09,0.0714,7
test3.in,6,LS2,6,6,0.09,0.0,7
test4.in,4,LS2,4,4,0.08,0.0,7
test5.in,4,LS2,4,4,0.08,0.0,7
